,Unnamed: 0.1,Unnamed: 0,Name,Distance,Mass,Radius,Gravity
212,216,216,DENIS-P J153941.96-052042.4 [de],51.0,1.2876923240999997e+31,664106.8716000001,1293302052582917.0
213,217,217,2MASS J15462718-3325111 [de],37.0,8.993406707999999e+30,624260.459304,960913379156507.2
214,218,218,2MASSW J1552591+294849 [de],68.0,6.131868209999999e+30,949672.826388,430670014180125.6
215,219,219,2MASSW J1555157-095605 [de],44.0,1.4512088096999998e+31,684030.0777480002,1415078528793143.8
216,220,220,2MASS J16150413+1340079 [de],48.0,8.584615494e+30,624260.459304,917235498285757.1
217,221,221,SDSSp J162414.37+002915.6 [de],36.0,8.789011100999999e+30,624260.459304,939074438721132.1
218,222,222,2MASS J16262034+3925190 [de],110.0,1.4512088096999998e+31,684030.0777480002,1415078528793143.8
219,223,223,2MASSW J1632291+190441 [de],50.0,1.0015384743e+31,644183.665452,1037011955106577.5
220,224,224,WISEPA J164715.59+563208.2,28.0,8.380219886999999e+30,624260.459304,895396557850381.8
221,225,225,LSPM J1658+7027 [de],60.0,1.4920879310999998e+31,690671.146464,1440950089111003.5
222,226,226,2MASSI J1726000+153819,114.0,4.9054945679999994e+30,929749.6202400001,351918925872902.6
223,227,227,SDSSp J175032.96+175903.9,90.0,9.606593528999999e+30,644183.665452,994684936530798.8
224,228,228,2MASS J18283572-4849046,39.0,9.197802314999998e+30,630901.52802,972407558333020.5
225,229,229,LSR J1835+3259,18.5,1.5738461738999997e+31,710594.3526120001,1477292064217247.0
226,230,230,2MASSW J1841086+311727,138.0,1.3694505669e+31,670747.940316,1361798483782107.0
227,231,231,2MASS J18432213+4040209,46.0,1.9621978271999998e+31,810210.3833519999,1615365561383815.5
228,232,232,2MASS J20004841-7523070,105.0,5.109890175e+30,1248520.918608,272986755442189.56
229,233,233,SDSS J204749.61-071818.3,65.0,9.402197922e+30,637542.596736,983662275443356.4
230,234,234,2MASSI J2057540-025230,47.0,1.4307692489999998e+31,677389.0090320001,1408825765340868.2
231,235,235,2MASSI J2104149-103736,62.0,1.4103296882999998e+31,677389.0090320001,1388699682978855.8
232,236,236,PSO J318.5−22,80.0,1.3285714454999997e+30,1016083.513548,87213023568720.42
233,237,237,HB 2124-4228,113.0,1.9213187057999997e+31,803569.3146360001,1594784113115495.2
234,238,238,2MASS J21392676+0220226,32.1,9.402197922e+30,637542.596736,983662275443356.4
235,239,239,2MASS J21481628+4003593,26.3,1.1241758384999998e+31,657465.802884,1140478000514036.2
236,240,240,2MASSW J2206450-421721,93.0,4.4967033539999997e+30,883262.1392280001,339570893386134.1
237,241,241,2MASSW J2208136+292121,154.0,5.518681388999999e+30,936390.6889559999,393100927836752.94
238,242,242,2MASSW J2224438-015852,38.0,1.2468132026999999e+31,657465.802884,1264893782388295.0
239,243,243,2MASS J22282889-4310262,35.0,8.584615494e+30,624260.459304,917235498285757.1
240,244,244,2MASS J22373255+3922398,64.0,1.4920879310999998e+31,690671.146464,1440950089111003.5
241,245,245,2MASSW J2244316+204343,56.0,2.4527472839999997e+30,856697.864364,190963758225606.06
242,246,246,2MASS J23224684-3133231,56.0,4.9054945679999994e+30,923108.551524,354450716706520.6
243,247,247,2MASS J23225299-6151275,148.0,3.4747253189999994e+30,1055929.925844,219488218966852.28
244,248,248,2MASS J23515044-2537367,67.0,1.7986813415999999e+31,770363.971056,1557342373115718.8
245,249,249,2MASSI J2356547-155310,74.0,1.6351648559999997e+31,723876.4900440001,1506686532789185.5
246,250,250,WISE 0410+1502,20.0,1.2263736419999999e+30,777005.0397719999,105274892355141.83
247,251,251,WISE 0458+6434A,35.9,3.0659341049999996e+30,2789248.86072,73316442890188.05
248,252,252,WISE 0458+6434B,35.9,2.0439560699999997e+30,2523606.11208,54022642129612.25
249,253,253,WISE 1405+5534,25.3,6.131868209999999e+30,571131.909576,716114093346023.0
